CC_ID,DOI,Citation context (sent),Citation context level annotation
CC97,10.1016/j.jmr.2018.08.009,"Python scripts as described in Refs. [35,36]",Y
CC27,10.1002/mrc.4411,The NMR and free-energy data were assembled by using the python script created by Willoughby.[83],Y
CC295,10.1038/s41596-018-0091-9,"The requisite molecular modeling is essentially identical to that previously reported by Willoughby, Jansma, and Hoyce107, and their Python scripts, intended to work within the Maestro environment, can be easily adapted to the present protocol by just changing the combination of functionals and basis sets.",Y
CC300,10.1039/c6ob00606j,However using Willoughby et al.’s computational approach we identified the relative configuration of the major isomers in each instance.63,Y
CC254,10.1021/acs.joc.8b02975,"Although MMFF geometries have been used in structure prediction,31c,33 DFT optimization allows for more confident structural assignment as there is a narrower distribution of errors with respect to experimental chemical shifts.16a,31c",N
CC166,10.1021/acs.analchem.0c04341,"BW is currently considered the gold standard of conformer averaging used for CCS, NMR chemical shift calculations,41 as well as for other chemical properties.",Y
CC111,10.1016/j.molstruc.2017.09.058,"The isotropic magnetic shielding constant (σ) was calculated by the GIAO method [36] at the DFT/B3LYP level, with the 6–311++G(2d,p) basis set [39], [49], [50] using the Gaussian 09 program [54].",N
CC387,10.3390/molecules27248782,"NMR shielding tensors were calculated with the GIAO method [54] at mPW1PW91/6-31+G(d,p) level with IEFPCM solvent model in methanol.",Y
CC100,10.1016/j.molliq.2022.120342,"The reason is that the shielding effect of OAH is reduced and the chemical shift value moves to the lower field intensity in ChCl [10,60,71].",N
CC246,10.1021/acs.joc.5b02396,"It is well-known that even small errors in the starting geometry can lead to significant errors in the computed chemical shifts.4b,5",N
CC221,10.1021/acs.jnatprod.8b00494,Schrödinger MacroModel 2016 was used to generate conformers using Willoughby et al.’s protocol.21,N
CC110,10.1016/j.molstruc.2017.09.058,"For this reason, the structure of TMS was also computed by the same methodology employed for the oximes including the solvent effects of CHCl3 and CH3OH on geometry optimizations [39], [50].",N
CC30,10.1002/mrc.4527,"Instead of only determining the connectivity (often called ‘flat structure’), the automatic structure determination could include computer modeling and 3D NMR information.[34]",N
CC155,10.1016/j.tetlet.2018.02.031,"The calculated ECD spectra of 1Aa resembled the experimental ECD curve of 1, and they exhibited a strong negative Cotton effect at 221 nm (Δε –0.74) and a weak negative Cotton effect at 275 nm (Δε –0.20) (Fig. 4), respectively, which ultimately defined the absolute configuration16, 17, 18 and elucidated the structure of 1.",N
CC114,10.1016/j.molstruc.2017.09.058,"Uncorrected δiCalc(ppm) are associated with MAE > 0.4 ppm for the 1H shifts and MAE > 10 ppm for the 13C ones, considering the common practice on symmetry-related i average for all nuclei discussed before [49], [50].",N
CC170,10.1021/acs.analchem.8b04567,"Because Boltzmann weighting by energy offers theoretical improvements over minimum-energy methods,38 it was selected for the Standard method of ISiCLE.",Y
CC107,10.1016/j.molstruc.2017.09.058,"Systematic and random methods were carried out according to the number of rotatable bonds, in a 30 kcal/mol energy range [20,49e51].",N
CC23,10.1002/ejoc.202000158,"Single point NMR calculations (B3LYP/6- 311+G(2d,p)/M06-2X/6-31+G(d,p))[34] of 36 and dia-36 showed closer agreement for the synthesized sample being compound 36.",Y
CC14,10.1002/chem.201602242,"We performed the data evaluation considering the Δδ parameter (differences in experimental vs. calculated 1H and 13C NMR chemical shifts) and the MAE parameter (MAE=Σ[|δexp−δcalcd|]/n, summation through n absolute values of the differences in the corresponding experimental and calculated 1H and 13C chemical shifts), which have been successfully used in the characterization of unknown stereostructures by us13 and by other research groups.16",N
CC145,10.1016/j.polymer.2022.125153,DFT was also used to calculate chemical shifts in DMSO [31].,N
CC102,10.1016/j.molstruc.2014.07.020,"Contrary to comparisons between experimental chemical shifts, including those determined in the solid state (Fig. 4) that are increasingly common [30,31], quantitative comparisons between experimental and calculated splittings have not been reported.",N
