ID,Old_ID,DOI,Q1 - Review article? (Scopus),Q1 - Review article? (WoS),Q2 - Addendum or Neupane? (Scopus),Q2 - Addendum or Neupane? (WoS),Q3: Introduction section?,label in the reference list,Number of citation contexts,Citation marker,Citation context,Introduction section?,Author,Title,Year,Journal,Source,Other notes
1,0,10.1002/anie.201706532,n,n,n,n,n,10,1,10,"We speculated that goupiolone B is biosynthetically derived from goupiolone A (1) and reinvestigated its structure on the basis of the reported 1H and 13C NMR data along with biosynthetic considerations. As a result, we constructed the more reasonable structure 5 with a dibenzobicyclo[3.2.2]nonane skeleton (Scheme 1). The biosynthesis of 5 could be explained as follows: Goupiolone A (1) is apparently produced by the oxidative condensation between catechol quinone (3 a), derived from catechol (3), and ethyl gallate (4) via a benzobicyclo[3.2.1]octane-type intermediate. Then, intermolecular 1,4-addition between 3 a and 1, intramolecular 1,2-addition of the product, and subsequent reduction of the o-quinone affords 5 (Scheme 2). The experimental NMR data of goupiolone B were very similar to those of the dibenzobicyclo[3.2.2]nonane unit of 6, which is an oxidative condensation product of theaflavin (7) and epicatechin (8) (Scheme 3).11 The structural similarity strongly supported the proposed biosynthetic pathway to 5.11 The validity of structure 5 was confirmed by DFT calculations of the 13C NMR chemical shifts of 2 and 5,10 followed by comparison with the reported data. As shown in Figure 1, the correlation between experimental and calculated data for 2 was very low (R2=0.8318), whereas the calculated data for 5 were in good agreement with the experimental data (R2=0.9980). On the basis of these considerations, we performed the biomimetic synthesis of 5 from 3 and 4 via 1.",n,"Matsuo Y., Yoshida A., Saito Y., Tanaka T.",Structural Revision and Biomimetic Synthesis of GoupioloneB,2017,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
2,1,10.1002/anie.201708266,n,n,n,n,n,10,2,"Refs. 5, 9, and 10","Nuclear magnetic resonance (NMR) is the most important spectroscopic technique in chemistry. It combines very high resolution with an extremely rich information content about the local properties of atoms in molecules in terms of the geometric as well as electronic structure. The theoretical, quantum mechanical (QM) analysis of NMR experiments and the resulting spectra has a long history.1, 2 With modern linear-response-based quantum-chemistry methods (e.g., density functional theory, DFT), the ab initio computation of the parameters in the NMR spin Hamiltonian, that is, the nuclear magnetic shielding constants (or the chemical shifts δ on a relative scale) and the indirect spin–spin coupling constants (J, SSCCs), has become quite routine3 (for recent mixed DFT/empirical approaches, see Ref. 4). With standard hybrid functional approximations, reasonable accuracies of about 0.1–0.3 ppm (for δ) and 0.5 Hz (for J) can be achieved for these second-order properties of organic molecules.5-8 Although these data can often be directly compared to experiment, until now, no fully automated procedure has been described that computes a properly averaged, fully coupled NMR spectrum entirely by quantum chemistry. To the best of our knowledge, such a composite scheme consisting of four more or less independent steps as illustrated in Figure 1 is proposed here for the first time (for related incomplete attempts, see Refs. 5, 9, and 10). From the very beginning, it was constructed with an eye on robustness and computational feasibility so that natural products with about 100 atoms can be treated and that spectra for systems with 40–70 atoms can be computed within hours on a standard quad-core laptop computer.",n,"Grimme S., Bannwarth C., Dohm S., Hansen A., Pisarek J., Pracht P., Seibert J., Neese F.",Fully Automated Quantum-Chemistry-Based Computation of Spin-Spin-Coupled Nuclear Magnetic Resonance Spectra,2017,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
2,1,10.1002/anie.201708266,n,n,n,n,n,10,2,10,"The crucial and thus far unsolved problem for the general prediction of NMR spectra is the thermally induced, nuclear permutation (and averaging) already mentioned by Bagno.5 Taking a Boltzmann average of NMR parameters computed for individual conformers, as suggested for example by Willoughby and co-workers,10 is necessary but unfortunately insufficient to model real systems. As shown in Figure 1 (left inset), a thermally accessible ensemble of minimum-energy structures generally consists of conformers as well as rotamers (conformer/rotamer ensemble, CRE). A conformer belongs to a set of stereoisomers, each of which is characterized by a distinct energy minimum.16 Rotamers arise from restricted bond rotation (or other low-barrier motions such as inversion), leading to an interchange of nuclei but to minima with identical energies and NMR parameters. Rotamers contribute substantially to the molecular entropy, and the completeness of an ensemble can be checked by comparing the experimental and theoretical values (see the Supporting Information). Rotamers are of utmost importance here because they represent the rapid nuclei interchange (typically on a sub-picosecond time scale) that leads to an average of NMR parameters on the much slower time scale of the experiment (for very slow, high-barrier (>15–20 kcal mol−1) processes, additive signals for different species, termed “isomers” here, are observed). Not considering rotamers would yield totally wrong simulated spectra, for example, isolated methyl groups would not show single (singlet) signals and an ethyl group would not give rise to the expected simple quartet/triplet splitting (see below). Note that intermediate cases leading to line-broadening effects are not considered, that is, our method works only for very slow and very fast nuclei exchange.",n,"Grimme S., Bannwarth C., Dohm S., Hansen A., Pisarek J., Pracht P., Seibert J., Neese F.",Fully Automated Quantum-Chemistry-Based Computation of Spin-Spin-Coupled Nuclear Magnetic Resonance Spectra,2017,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
3,2,10.1002/anie.201810566,n,n,n,n,n,14,1,"13, 14","An additional complication in the justicane case is that a stereospecific 1,2-alkyl migration of 3 would result in a cis-fused A,B-ring system (1), as opposed to the trans-A,B-ring fusion reported for justicioside E aglycone (C1-epi-1).7 To resolve this ambiguity, we conducted NMR prediction calculations (Figure 1 B).13, 14 Deviations from experimental data (in ppm) are shown for both assignments. The mean average deviation (MAD) and maximum difference (Max) from the reported 1H- and 13C- NMR spectra are more consistent with the revised structure 1. Furthermore, statistical evaluation of the 1H, 13C, and 1H & 13C data sets using Goodman's DP4 method provides a 100 % probability that the reassignment is more accurate than the originally proposed structure.15 The structural reassignment may have implications for the biosynthetic mechanism of rearrangement, as a stereospecific concerted migration, among other possibilities, would be consistent with the formation of cis-fused 1.",n,"Elkin M., Scruse A.C., Turlik A., Newhouse T.R.",Computational and Synthetic Investigation of Cationic Rearrangement in the Putative Biosynthesis of Justicane Triterpenoids,2019,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science","Recheck, the other citation is the Gaussian"
4,3,10.1002/anie.201902777,n,n,n,n,n,4,1,4,"Determination of structure is a fundamental pillar of the discipline of chemistry.1 However, misinterpretations of spectroscopic and/or physical data have often been known to result in structural misassignments. Such occurrences are particularly prevalent in the natural product (NP) arena, where complex atom connectivities and stereochemical complexity abound.2 Considering the extensive time and spectroscopic demands (e.g., NMR, IR, UV-vis, MS, CD) involved in correctly elucidating a novel natural product, the prevalence of misassignments in the literature is perhaps understandable.3 There are now numerous in silico methods to help with structure elucidation by predicting spectra (e.g., NMR,4 ECD5) from chemical structure input or conversely by predicting chemical structure from spectroscopic data (e.g., ACDLabs6). Yet in spite of these new technologies, misassignments continue to appear. X-ray crystallographic analysis in principle enables definitive structural elucidation, but in the NP arena the requisite quantities of material and suitable crystals are not always available, and furthermore misinterpretations are not unprecedented.2a Ultimate proof of proposed structural assignment is often provided via chemical synthesis and spectroscopic comparison of the synthesized material with the natural material,2 although recently developed electron cryo-microscopy methodology could circumvent this requirement in the future.7",n,"Kutateladze A.G., Krenske E.H., Williams C.M.",Reassignments and Corroborations of Oxo-Bridged Natural Products Directed by OSE and DU8+NMR Computation,2019,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
5,4,10.1002/anie.201916566,n,n,n,n,n,56,3,53-57,"We intentionally avoided certain procedures that would generally be expected of a complete computational study. 1) We did not carry out thorough conformational searches. This would normally be considered an inherently bad strategy, but in the case of strychnine, it is reasonable in that most structures examined are not very flexible. The assumption herein is that chemical shift differences associated with conformational changes within the strychnine structure proposals would not change the ultimate conclusions. 2) We did not consider all possible diastereomers of each structure. In principle, this is an even worse strategy. However, because of the multiple condensed ring systems of the various proposed structures for strychnine (Table 1), reasonably unstrained diastereomers are few (except for 2 and the position of the methyl group in several others). While quantum chemical computations for chemical shifts are certainly reliable enough to distinguish among diastereomers,53-57 we plunge ahead here in the spirit of determining connectivity and postponing the determination of relative configuration. The assumption here is that chemical shift differences associated with configuration changes again would not change our conclusions about connectivity within the very complex multiring systems. This is a far less dangerous assumption for 13C NMR shifts than for 1H NMR shifts.54 A test of the validity of this approach was carried out, as described in the following text.",n,"Seeman J.I., Tantillo D.J.",From Decades to Minutes: Steps Toward the Structure of Strychnine 1910-1948 and the Application of Today's Technology,2020,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
5,4,10.1002/anie.201916566,n,n,n,n,n,56,3,53-57,"Whether these two assumptions are reasonable is up for debate, but both are economical in the initial stages of such a study. If, however, we encounter any close calls—cases where only small deviations between theory and experiment are found—we will put those structures aside for deeper analysis. DFT-predicted 1H and 13C NMR chemical shifts, when obtained with an appropriate level of theory, are expected to be accurate enough that deviations between experimental and computed chemical shifts are expected to be approximately 0.2–0.3 ppm or less for 1H NMR, and roughly 5–6 ppm or less for 13C NMR.53-57 We use 0.3 and 6 ppm as minimum values for “large deviations”.",n,"Seeman J.I., Tantillo D.J.",From Decades to Minutes: Steps Toward the Structure of Strychnine 1910-1948 and the Application of Today's Technology,2020,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
5,4,10.1002/anie.201916566,n,n,n,n,n,56,3,53-56,"The hypothetical situation we have constructed is reasonable: someone has isolated and purified an unknown natural product (for example, strychnine), and has only NMR spectroscopic data for that compound. Can one, using modern quantum chemical theory, rule out a number of structural hypotheses and point with some degree of confidence to the most likely, if not the correct, structure? Myriad examples have now been published using chemical shifts computed with modern theoretical methods (generally density functional theory, DFT) to support or refute structure assignments.53-56 The application of this type of approach to such complex molecules only became feasible in recent decades, due in large part to the continued development of DFT methods. Herein we apply an expedient approach to explore how such technology could be used to rapidly rule out many quickly proposed or perhaps simply brainstormed structures. While coupling constants also could have been computed, 2D NMR methods applied and analyzed, and so on, we demonstrate here that doing so is not essential for the strychnine problem. Moreover, we wanted to contrast the historical record of 40 years of laboratory work and hundreds of publications by two Nobel laureates and other luminaries in organic chemistry with a down-and-dirty computational approach.",n,"Seeman J.I., Tantillo D.J.",From Decades to Minutes: Steps Toward the Structure of Strychnine 1910-1948 and the Application of Today's Technology,2020,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"Scopus, Web of Science",
6,5,10.1002/cbdv.201700294,n,n,n,n,n,40,1,[40],"The unsaturated acyl groups in diesters 6 and monoe- sters 6a (meta) and 6b (para) were approximated by a crotonate (2-butenoate), thus obtaining models M6, M6a and M6b. These models, in addition to caffeic acid, were subjected to a ‘low-mode’ conformational search in gas phase, using the MMFF94x forcefield as implemented in the software MOE.[34] All the conformations within a interval of 3 kcal mol1 were then optimized at the M06-2X/6-31+G(d,p) level, using the IEFPCM formalism and the UA0 set of atomic radii to model the effect of DMSO solvation.[37 – 39] Three unique conformations were obtained for caffeic acid, eight conformations for diester M6, two conformation for monoester M6a and six for M6b. All conformations were confirmed as minima on the potential energy surface by performing a vibra- tional analysis, at the same theoretical level used for geometry optimization, and verifying the absence of imaginary frequencies. NMR absolute shieldings were then computed for all conformations using the GIAO method, at the B3LYP/6-311+G(2d,p), accordingly to a protocol reported in the literature.[40]",n,"Gandolfi R., Contini A., Pinto D., Marzani B., Pandini S., Nava D., Pini E.","Synthesis and Biological Evaluation of New Natural Phenolic (2E,4E,6E)-Octa-2,4,6-trienoic Esters",2017,CHEMISTRY & BIODIVERSITY,"Scopus, Web of Science",
7,6,10.1002/cbdv.202100707,n,n,n,n,n,22,1,[22],"Spartan’14 software package (Wavefunction Inc., Irvine, CA, USA) and Gaussian 09 program package were used in molecular mechanics calculation.[21] The conforma- tional analysis for compound 1 and its possible isomer through the MMFF94s force field and torsional sampling MCMM (Monte Carlo Multiple Minimum) method.[22] All stimulated conformers were further handled using a DFT calculation at the M062X/6-311 + G (d, p) level of theory. NMR shielding constants were also calculated using the GIAO method at the B3LYP/6-311 + G (2d, p) level of theory with the PCM (polarizable continuum model) model (In MeOH). Based on the total Boltzmann distribution and relative energies, the chemical shifts for each conformer were calculated. The DP4+ data were yielded by using the spread sheet provided by the Sarotti Group.[23]",n,"Liu D., Du K.-C., Wang A.-D., Meng D.-L., Li J.L.",Secondary Metabolites from the Fresh Leaves of Pinus yunnanensis Franch,2022,CHEMISTRY & BIODIVERSITY,"Scopus, Web of Science",
