DOI,decision,rationale,stage
10.1002/chem.201601150,negligible risk,This paper is a review,1
10.1002/chem.202004790,negligible risk,This paper is a review,1
10.1002/mrc.4989,negligible risk,This paper is a review,1
10.1002/mrc.5234,negligible risk,This paper is a review,1
10.1002/mrc.5260,negligible risk,This paper is a review,1
10.1002/wcms.1214,negligible risk,This paper is a review,1
10.1007/s10593-018-2279-x,negligible risk,This paper is a review,1
10.1007/s11418-019-01321-8,negligible risk,This paper is a review,1
10.1007/s12272-020-01277-4,negligible risk,This paper is a review,1
10.1007/s43450-022-00333-y,negligible risk,This paper is a review,1
10.1016/j.copbio.2016.07.006,negligible risk,This paper is a review,1
10.1016/j.drudis.2018.02.014,negligible risk,This paper is a review,1
10.1016/j.jaap.2023.105882,negligible risk,This paper is a review,1
10.1016/j.pnmrs.2016.08.001,negligible risk,This paper is a review,1
10.1016/j.pnmrs.2017.11.003,negligible risk,This paper is a review,1
10.1016/j.pnmrs.2019.05.004,negligible risk,This paper is a review,1
10.1016/j.tetlet.2020.152548,negligible risk,This paper is a review,1
10.1021/acs.accounts.0c00365,negligible risk,This paper is a review,1
10.1021/acs.accounts.3c00183,negligible risk,This paper is a review,1
10.1021/acs.chemrev.0c00901,negligible risk,This paper is a review,1
10.1021/acs.jnatprod.0c01305,negligible risk,This paper is a review,1
10.1021/acs.jnatprod.0c01309,negligible risk,This paper is a review,1
10.1021/acs.jnatprod.1c01014,negligible risk,This paper is a review,1
10.1021/acs.jnatprod.2c00174,negligible risk,This paper is a review,1
10.1021/acs.oprd.2c00313,negligible risk,This paper is a review,1
10.1039/c7np00064b,negligible risk,This paper is a review,1
10.1039/c8cs00298c,negligible risk,This paper is a review,1
10.1039/d1me00055a,negligible risk,This paper is a review,1
10.1039/d1qo00034a,negligible risk,This paper is a review,1
10.1039/d2qo00410k,negligible risk,This paper is a review,1
10.4155/bio-2015-0004,negligible risk,This paper is a review,1
10.1002/chem.202001884,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1002/chir.23189,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1016/j.phytochem.2022.113200,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1016/j.phytochem.2023.113587,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1016/j.phytol.2021.09.004,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
