DOI,Silver Standard
10.1002/anie.201706532,at risk
10.1002/anie.201708266,not at risk
10.1002/anie.201810566,at risk
10.1002/anie.201902777,not at risk
10.1002/anie.201916566,not at risk
10.1002/cbdv.201700294,not at risk
10.1002/cbdv.202100707,not at risk
10.1002/chem.201601150,not at risk
10.1002/chem.201602242,not at risk
10.1002/chem.202001884,not at risk
10.1002/chem.202004790,not at risk
10.1002/chir.23189,not at risk
10.1002/cjoc.202200383,at risk
10.1002/ejoc.201403457,at risk
10.1002/ejoc.201403569,not at risk
10.1002/ejoc.201901363,not at risk
10.1002/ejoc.202000158,at risk
10.1002/mrc.4130,not at risk
10.1002/mrc.4302,at risk
10.1002/mrc.4312,not at risk
10.1002/mrc.4411,at risk
10.1002/mrc.4469,not at risk
10.1002/mrc.4502,not at risk
10.1002/mrc.4527,not at risk
10.1002/mrc.4818,not at risk
10.1002/mrc.4892,not at risk
10.1002/mrc.4951,not at risk
10.1002/mrc.4959,not at risk
10.1002/mrc.4989,not at risk
10.1002/mrc.5077,not at risk
10.1002/mrc.5087,not at risk
10.1002/mrc.5234,not at risk
10.1002/mrc.5260,not at risk
10.1002/pssb.201800335,not at risk
10.1002/qua.25655,not at risk
10.1002/qua.26456,not at risk
10.1002/wcms.1214,not at risk
10.1007/164_2022_617,not at risk
10.1007/978-981-10-5966-7_17,not at risk
10.1007/s00706-017-2056-z,at risk
10.1007/s00894-015-2639-8,not at risk
10.1007/s00894-016-3045-6,not at risk
10.1007/s00894-016-3172-0,not at risk
10.1007/s10593-014-1489-0,not at risk
10.1007/s10593-018-2279-x,not at risk
10.1007/s11418-019-01321-8,not at risk
10.1007/s12272-020-01277-4,not at risk
10.1007/s13659-019-0203-4,not at risk
10.1007/s13659-020-00248-y,at risk
10.1007/s13659-022-00342-3,not at risk
10.1007/s43450-022-00333-y,not at risk
10.1016/B978-0-12-812364-5.00007-9,not at risk
10.1016/S1875-5364(19)30120-7,at risk
10.1016/j.aca.2019.01.023,not at risk
10.1016/j.apsb.2021.05.001,not at risk
10.1016/j.bioorg.2020.104397,not at risk
10.1016/j.bioorg.2020.104597,not at risk
10.1016/j.bioorg.2022.106025,not at risk
10.1016/j.bmc.2019.07.021,at risk
10.1016/j.chemphyslip.2020.104973,not at risk
10.1016/j.comptc.2014.11.007,not at risk
10.1016/j.copbio.2016.07.006,not at risk
10.1016/j.crci.2019.10.006,not at risk
10.1016/j.drudis.2018.02.014,not at risk
10.1016/j.ejmech.2020.112888,not at risk
10.1016/j.ejmech.2022.114948,at risk
10.1016/j.fitote.2019.104466,not at risk
10.1016/j.fitote.2020.104529,not at risk
10.1016/j.fitote.2023.105546,at risk
10.1016/j.heliyon.2019.e02518,at risk
10.1016/j.isci.2021.103384,not at risk
10.1016/j.jaap.2023.105882,not at risk
10.1016/j.jcou.2017.06.012,not at risk
10.1016/j.jff.2017.07.036,at risk
10.1016/j.jmr.2018.08.009,at risk
10.1016/j.jorganchem.2018.03.014,not at risk
10.1016/j.jphotochem.2018.04.039,not at risk
10.1016/j.molliq.2022.120342,not at risk
10.1016/j.molstruc.2014.07.020,not at risk
10.1016/j.molstruc.2015.08.028,at risk
10.1016/j.molstruc.2017.05.139,not at risk
10.1016/j.molstruc.2017.09.058,at risk
10.1016/j.molstruc.2017.09.065,not at risk
10.1016/j.molstruc.2018.03.050,not at risk
10.1016/j.molstruc.2018.10.064,not at risk
10.1016/j.molstruc.2018.11.085,not at risk
10.1016/j.molstruc.2019.01.052,at risk
10.1016/j.molstruc.2020.128157,not at risk
10.1016/j.molstruc.2020.128834,not at risk
10.1016/j.molstruc.2021.131159,at risk
10.1016/j.molstruc.2022.132883,not at risk
10.1016/j.phytochem.2018.10.022,at risk
10.1016/j.phytochem.2022.113136,at risk
10.1016/j.phytochem.2022.113200,not at risk
10.1016/j.phytochem.2022.113278,not at risk
10.1016/j.phytochem.2023.113587,not at risk
10.1016/j.phytochem.2023.113690,not at risk
10.1016/j.phytol.2015.07.004,not at risk
10.1016/j.phytol.2019.12.008,at risk
10.1016/j.phytol.2021.09.004,not at risk
10.1016/j.phytol.2023.03.005,not at risk
10.1016/j.pnmrs.2016.08.001,not at risk
10.1016/j.pnmrs.2017.11.003,not at risk
10.1016/j.pnmrs.2019.05.004,not at risk
10.1016/j.polymer.2022.125153,not at risk
10.1016/j.saa.2019.117685,not at risk
10.1016/j.tet.2014.07.070,not at risk
10.1016/j.tet.2015.03.016,at risk
10.1016/j.tet.2016.12.027,at risk
10.1016/j.tet.2019.03.056,not at risk
10.1016/j.tet.2022.132955,at risk
10.1016/j.tetlet.2018.02.031,not at risk
10.1016/j.tetlet.2019.05.061,at risk
10.1016/j.tetlet.2020.152548,not at risk
10.1016/j.xphs.2017.08.008,at risk
10.1021/acs.accounts.0c00365,not at risk
10.1021/acs.accounts.3c00183,not at risk
10.1021/acs.analchem.0c00768,not at risk
10.1021/acs.analchem.0c04341,at risk
10.1021/acs.analchem.2c05145,at risk
10.1021/acs.analchem.8b04567,at risk
10.1021/acs.chemrev.0c00901,not at risk
10.1021/acs.energyfuels.1c04336,not at risk
10.1021/acs.jcim.2c01093,not at risk
10.1021/acs.jctc.0c00860,not at risk
10.1021/acs.jctc.0c00979,not at risk
10.1021/acs.jctc.5b00856,not at risk
10.1021/acs.jctc.7b00772,not at risk
10.1021/acs.jmedchem.9b00716,at risk
10.1021/acs.jnatprod.0c00745,not at risk
10.1021/acs.jnatprod.0c00910,not at risk
10.1021/acs.jnatprod.0c00929,at risk
10.1021/acs.jnatprod.0c01305,not at risk
10.1021/acs.jnatprod.0c01309,not at risk
10.1021/acs.jnatprod.1c00185,not at risk
10.1021/acs.jnatprod.1c00738,not at risk
