DOI,decision,rationale,stage
10.1002/anie.201706532,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/anie.201708266,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/anie.201810566,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/anie.201902777,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/anie.201916566,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/cbdv.201700294,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/cbdv.202100707,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/chem.201602242,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/cjoc.202200383,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/ejoc.201403457,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/ejoc.201901363,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/ejoc.202000158,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/mrc.4302,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/mrc.4411,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/mrc.4502,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/mrc.4527,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/mrc.4818,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/mrc.4892,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/mrc.4951,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1002/mrc.4959,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1002/pssb.201800335,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/164_2022_617,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/978-981-10-5966-7_17,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s00706-017-2056-z,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s00894-015-2639-8,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s00894-016-3172-0,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s10593-014-1489-0,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s13659-019-0203-4,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s13659-020-00248-y,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1007/s13659-022-00342-3,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/b978-0-12-812364-5.00007-9,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/s1875-5364(19)30120-7,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.aca.2019.01.023,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.apsb.2021.05.001,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.bioorg.2020.104397,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.bioorg.2020.104597,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.bioorg.2022.106025,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.bmc.2019.07.021,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.comptc.2014.11.007,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.crci.2019.10.006,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.ejmech.2020.112888,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.ejmech.2022.114948,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.fitote.2019.104466,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.fitote.2020.104529,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.fitote.2023.105546,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.heliyon.2019.e02518,negligible risk,No citation context classified as at risk by the machine learning model,3
